,ID,type,name,Vermin,stars,votes,safety
0,106464345,Boulder,Jedi Mind Tricks,V4,4.9,146,PG13
2,108323241,Boulder,Mutants Amok,V5,4.7,38,
5,106967809,Boulder,Baby's Head,V1,4.5,28,R
7,106822513,Boulder,Heavy Traffic,V3,4.5,25,
9,108673397,Boulder,Le Privett,V6,4.4,25,
14,106918219,Boulder,She Made Me Do It,V8,5.0,11,
16,108468080,Boulder,Buckets Forever,V1-2,3.8,34,
17,106777420,Boulder,Zerreissen,V3-4,3.7,35,
18,106822524,Boulder,Big Traffic,V4,4.5,20,
19,108088522,Boulder,Original Generation Arete,V6,5.0,8,
20,106490145,Boulder,Le Fissure King,V3,3.8,32,
21,107112674,Boulder,Jenny,V4,4.6,14,
22,108446702,Boulder,First Come First Served,V10,4.9,8,PG13
26,107108158,Boulder,Dan's Problem,V3,4.1,21,
29,108491631,Boulder,Verisimilitude,V10,4.8,6,
30,108092072,Boulder,The Trojan Arete,V8+,4.8,6,
31,106875650,Boulder,Static Eliminator,V4,4.4,14,
32,106821801,Boulder,Arete of Troy,V0,3.9,25,
33,119160923,Boulder,Press On Nails Sit-Start,V9,5.0,2,
35,108472943,Boulder,Cookies and Crimps,V4-,3.7,29,
36,111588312,Boulder,The Brute Sit,V10,5.0,2,
38,106822531,Boulder,Old Soft Hsu,V3,4.0,21,
40,108470914,Boulder,Sucker Punch,V5,3.8,25,
41,106821768,Boulder,Street Corner,V0-,3.7,27,
42,108449190,Boulder,Lactose Tolerant,V3-4,4.4,14,
43,108673389,Boulder,Le Bernd,V4,4.0,22,
44,107827608,Boulder,Wet Work Dihedral,V1,5.0,1,R
45,109655271,Boulder,The Endless Summer,V8,5.0,1,
46,107112779,Boulder,Loser Project,V5-6,5.0,1,
47,107827618,Boulder,Rain Dance,V2,5.0,1,
48,108024187,Boulder,Thomas Aquinas,V7,4.6,9,
49,106609727,Boulder,Old Gregg,V3,4.0,20,
54,110861905,Boulder,No Pigs For Rent,V8+,4.8,4,
55,107145064,Boulder,Morning Glory,V0,4.5,8,
56,107108178,Boulder,The Brute,V9,4.4,9,
57,107452864,Boulder,Old Gregg - Sit,V5,4.1,15,
59,107015830,Boulder,Big Deal,V6,4.0,17,
60,108467478,Boulder,General Electric,V5,3.9,19,
62,108673495,Boulder,Countdown To Extinction,V9,4.3,10,
67,107112819,Boulder,Entrance Exam,V5,4.0,14,
68,109757464,Boulder,OG Arete SDS,V7,4.5,4,
69,108584746,Boulder,Whiskey and Success,V9,4.4,5,
72,107762146,Boulder,2 Francs to Glory,V4,4.0,13,
73,107112763,Boulder,Debra,V8,4.3,6,
